,City,Country,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Date
0,lebu,CL,-37.6167,-73.65,46.47,76,1,9.46,1631576906
1,kushiro,JP,42.975,144.3747,59.95,55,40,8.05,1631576906
2,hobart,AU,-42.8794,147.3294,51.26,71,20,1.99,1631576815
3,kavieng,PG,-2.5744,150.7967,84.36,72,87,15.46,1631576906
4,mataura,NZ,-46.1927,168.8643,45.48,77,86,0.51,1631576907
5,nizwa,OM,22.9333,57.5333,85.69,41,100,1.45,1631576907
6,bucak,TR,37.4592,30.595,64.92,75,39,2.62,1631576907
7,cidreira,BR,-30.1811,-50.2056,66.67,96,100,11.54,1631576908
8,tasiilaq,GL,65.6145,-37.6368,41.16,70,94,6.69,1631576908
9,qaanaaq,GL,77.484,-69.3632,19.92,73,31,7.99,1631576909
10,saskylakh,RU,71.9167,114.0833,44.65,84,64,3.31,1631576909
11,ukiah,US,39.1502,-123.2078,98.49,15,1,5.75,1631576910
12,bluff,NZ,-46.6,168.3333,45.81,55,87,4.18,1631576910
13,busselton,AU,-33.65,115.3333,52.52,76,1,6.93,1631576910
14,severo-kurilsk,RU,50.6789,156.125,49.68,90,100,33.87,1631576911
15,padang,ID,-0.9492,100.3543,76.96,81,100,2.82,1631576911
16,slave lake,CA,55.2834,-114.769,62.58,48,1,13.8,1631576911
17,kalmunai,LK,7.4167,81.8167,79.0,75,55,5.97,1631576911
18,labytnangi,RU,66.6572,66.4183,38.28,88,100,9.46,1631576912
19,mar del plata,AR,-38.0023,-57.5575,55.42,54,0,6.91,1631576876
20,beyneu,KZ,45.3167,55.2,69.1,38,41,13.22,1631576912
21,cape town,ZA,-33.9258,18.4232,54.01,76,0,3.0,1631576913
22,puerto carreno,CO,6.189,-67.4859,78.08,82,55,7.92,1631576913
23,tricase,IT,39.9304,18.3553,65.55,75,0,11.01,1631576913
24,bac lieu,VN,9.285,105.7244,77.23,86,100,14.14,1631576914
25,thompson,CA,55.7435,-97.8558,50.16,100,90,5.75,1631576898
26,banda aceh,ID,5.5577,95.3222,79.5,74,99,10.76,1631576914
27,vaini,TO,-21.2,-175.2,80.76,83,40,5.75,1631576914
28,santa cruz,BO,-17.8,-63.1667,86.05,51,20,20.71,1631576710
29,vigia del fuerte,CO,6.5789,-76.8863,74.1,96,76,0.45,1631576915
30,dakar,SN,14.6937,-17.4441,84.33,84,20,13.8,1631576804
31,hilo,US,19.7297,-155.09,83.93,69,75,9.22,1631576916
32,khatanga,RU,71.9667,102.5,44.37,66,54,8.25,1631576916
33,barrow,US,71.2906,-156.7887,41.02,87,90,13.8,1631576916
34,hermanus,ZA,-34.4187,19.2345,52.81,78,79,6.69,1631576916
35,port elizabeth,ZA,-33.918,25.5701,59.29,94,90,12.66,1631576917
36,mahebourg,MU,-20.4081,57.7,71.26,83,75,4.61,1631576917
37,butaritari,KI,3.0707,172.7902,82.47,77,46,16.33,1631576917
38,ancud,CL,-41.8697,-73.8203,45.93,78,58,7.11,1631576918
39,harper,LR,4.375,-7.7169,77.58,88,99,6.26,1631576918
40,punta arenas,CL,-53.15,-70.9167,44.71,81,75,13.8,1631576896
41,atikokan,CA,48.7555,-91.6216,61.47,59,89,4.79,1631576919
42,ushuaia,AR,-54.8,-68.3,40.66,81,40,29.93,1631576895
43,cabo san lucas,MX,22.8909,-109.9124,86.18,81,10,9.48,1631576753
